id,name,brand,category,pack_value,pack_unit,mrp,suggested_sell_price,image_search_query,tags
staples-aashirvaad-atta-5kg,Aashirvaad Whole Wheat Atta,Aashirvaad,atta_rice_dal,5,kg,275,275,aashirvaad whole wheat atta 5kg pack,bestseller
staples-aashirvaad-atta-10kg,Aashirvaad Whole Wheat Atta,Aashirvaad,atta_rice_dal,10,kg,540,540,aashirvaad whole wheat atta 10kg pack,
staples-aashirvaad-atta-1kg,Aashirvaad Whole Wheat Atta,Aashirvaad,atta_rice_dal,1,kg,60,60,aashirvaad whole wheat atta 1kg pack,
staples-aashirvaad-multigrain-5kg,Aashirvaad Multigrain Atta,Aashirvaad,atta_rice_dal,5,kg,360,360,aashirvaad multigrain atta 5kg pack,
staples-aashirvaad-select-5kg,Aashirvaad Select Atta,Aashirvaad,atta_rice_dal,5,kg,330,330,aashirvaad select sharbati atta 5kg pack,
staples-pillsbury-atta-5kg,Pillsbury Chakki Fresh Atta,Pillsbury,atta_rice_dal,5,kg,265,265,pillsbury chakki fresh atta 5kg pack,
staples-pillsbury-atta-10kg,Pillsbury Chakki Fresh Atta,Pillsbury,atta_rice_dal,10,kg,520,520,pillsbury chakki fresh atta 10kg pack,
staples-fortune-atta-5kg,Fortune Chakki Fresh Atta,Fortune,atta_rice_dal,5,kg,260,260,fortune chakki fresh atta 5kg pack,
staples-fortune-atta-10kg,Fortune Chakki Fresh Atta,Fortune,atta_rice_dal,10,kg,510,510,fortune chakki fresh atta 10kg pack,
staples-patanjali-atta-5kg,Patanjali Whole Wheat Atta,Patanjali,atta_rice_dal,5,kg,225,225,patanjali whole wheat atta 5kg pack,
staples-annapurna-atta-5kg,Annapurna Whole Wheat Atta,Annapurna,atta_rice_dal,5,kg,260,260,annapurna whole wheat atta 5kg pack,
staples-india-gate-basmati-1kg,India Gate Classic Basmati Rice,India Gate,atta_rice_dal,1,kg,180,180,india gate classic basmati rice 1kg pack,
staples-india-gate-basmati-5kg,India Gate Classic Basmati Rice,India Gate,atta_rice_dal,5,kg,850,850,india gate classic basmati rice 5kg pack,bestseller
staples-india-gate-feast-1kg,India Gate Feast Rozzana Basmati,India Gate,atta_rice_dal,1,kg,140,140,india gate feast rozzana basmati 1kg pack,
staples-daawat-basmati-1kg,Daawat Traditional Basmati Rice,Daawat,atta_rice_dal,1,kg,175,175,daawat traditional basmati rice 1kg pack,
staples-daawat-basmati-5kg,Daawat Traditional Basmati Rice,Daawat,atta_rice_dal,5,kg,830,830,daawat traditional basmati rice 5kg pack,
staples-daawat-rozana-1kg,Daawat Rozana Super Basmati,Daawat,atta_rice_dal,1,kg,135,135,daawat rozana super basmati 1kg pack,
staples-kohinoor-basmati-1kg,Kohinoor Authentic Basmati Rice,Kohinoor,atta_rice_dal,1,kg,170,170,kohinoor authentic basmati rice 1kg pack,
staples-kohinoor-basmati-5kg,Kohinoor Authentic Basmati Rice,Kohinoor,atta_rice_dal,5,kg,820,820,kohinoor authentic basmati rice 5kg pack,
staples-fortune-sona-masoori-5kg,Fortune Special Sona Masoori Rice,Fortune,atta_rice_dal,5,kg,440,440,fortune special sona masoori rice 5kg pack,
staples-fortune-everyday-basmati-1kg,Fortune Everyday Basmati Rice,Fortune,atta_rice_dal,1,kg,135,135,fortune everyday basmati rice 1kg pack,
staples-tilda-basmati-1kg,Tilda Pure Basmati Rice,Tilda,atta_rice_dal,1,kg,225,225,tilda pure basmati rice 1kg pack,
staples-tata-sampann-toor-dal-1kg,Tata Sampann Unpolished Toor Dal,Tata Sampann,atta_rice_dal,1,kg,180,180,tata sampann unpolished toor dal 1kg pack,bestseller
staples-tata-sampann-moong-dal-1kg,Tata Sampann Unpolished Moong Dal,Tata Sampann,atta_rice_dal,1,kg,160,160,tata sampann unpolished moong dal 1kg pack,
staples-tata-sampann-chana-dal-1kg,Tata Sampann Unpolished Chana Dal,Tata Sampann,atta_rice_dal,1,kg,110,110,tata sampann unpolished chana dal 1kg pack,
staples-tata-sampann-urad-dal-1kg,Tata Sampann Unpolished Urad Dal,Tata Sampann,atta_rice_dal,1,kg,170,170,tata sampann unpolished urad dal 1kg pack,
staples-tata-sampann-masoor-dal-1kg,Tata Sampann Unpolished Masoor Dal,Tata Sampann,atta_rice_dal,1,kg,120,120,tata sampann unpolished masoor dal 1kg pack,
staples-tata-sampann-rajma-1kg,Tata Sampann Rajma Chitra,Tata Sampann,atta_rice_dal,1,kg,180,180,tata sampann rajma chitra 1kg pack,
staples-tata-sampann-kabuli-chana-1kg,Tata Sampann Kabuli Chana,Tata Sampann,atta_rice_dal,1,kg,140,140,tata sampann kabuli chana 1kg pack,
staples-tata-sampann-chana-besan-500g,Tata Sampann Besan,Tata Sampann,atta_rice_dal,500,g,75,75,tata sampann besan 500g pack,
staples-patanjali-toor-dal-1kg,Patanjali Arhar Toor Dal,Patanjali,atta_rice_dal,1,kg,165,165,patanjali arhar toor dal 1kg pack,
staples-patanjali-moong-dal-1kg,Patanjali Moong Dal,Patanjali,atta_rice_dal,1,kg,150,150,patanjali moong dal 1kg pack,
staples-patanjali-chana-dal-1kg,Patanjali Chana Dal,Patanjali,atta_rice_dal,1,kg,100,100,patanjali chana dal 1kg pack,
staples-fortune-arhar-dal-1kg,Fortune Arhar Dal,Fortune,atta_rice_dal,1,kg,170,170,fortune arhar dal 1kg pack,
staples-fortune-moong-dal-1kg,Fortune Moong Dal,Fortune,atta_rice_dal,1,kg,155,155,fortune moong dal 1kg pack,
staples-24mantra-toor-dal-1kg,24 Mantra Organic Toor Dal,24 Mantra,atta_rice_dal,1,kg,260,260,24 mantra organic toor dal 1kg pack,
staples-24mantra-moong-dal-1kg,24 Mantra Organic Moong Dal,24 Mantra,atta_rice_dal,1,kg,240,240,24 mantra organic moong dal 1kg pack,
staples-rajdhani-besan-1kg,Rajdhani Besan,Rajdhani,atta_rice_dal,1,kg,135,135,rajdhani besan 1kg pack,
staples-rajdhani-toor-dal-1kg,Rajdhani Toor Dal,Rajdhani,atta_rice_dal,1,kg,170,170,rajdhani toor dal 1kg pack,
